Material,Band_Gap(ev),Refractive_index_n,mean-z,std-z,mean_mass,std_mass,mean_ele,std_ele,mean-FIE,std_FIE,mean-p,std-p,mean-radius,std-radius,mean-Den,std-Den,mean-boil,std-boil,mean-melt,std-melt,mean-con,std-con
MgAl2O4,,1.715,10,2.32,20.323,5.061,2.612,0.959,10.584,3.54,2.428,0.494,81.857,39.972,772.493,1219.062,1043.971,1186.333,429.877,433.113,90.015,106.456
MgF2,10.8,1.377,10,1.41,20.767,2.501,3.09,1.258,14.163,4.608,2.333,0.471,76.333,48.554,1.71,0.019,511.02,602.44,343.333,409.886,53.351,75.411
MgGa2O4,,1.879,15.14,10.11,32.535,23.686,2.669,0.902,10.588,3.535,2.714,0.88,87,45.118,1687.922,2666.481,246.964,457.225,249.717,295.426,31.158,54.098
MgSe,5.63,2.39,23,11,48.632,24.327,1.93,0.619,8.699,1.053,3.5,0.5,124,21,2410.369,2408.631,1160.5,202.5,708.5,214.5,80.26,79.74
MgTe,3.6,2.54,32,20,75.952,51.647,1.705,0.395,8.328,0.681,4,1,134,11,3120.869,3119.131,682.13,680.869,822.829,100.17,81.5,78.5
MgO,7.8,1.735,10,2,20.152,4.152,2.375,1.065,10.632,2.986,2.5,0.5,96.5,48.5,1.583,0.154,726.6,636.4,488.9,434.1,80.013,79.986
MnF2,9.9,1.4865,14.33,7.54,30.978,16.941,3.17,1.145,14.092,4.708,2.666,0.942,81.666,56.097,2491.13,3520.592,57.464,38.983,542,690.843,2.618,3.663
MnO,3.7,2.18,16.5,8.5,35.468,19.469,2.495,0.945,10.526,3.092,3,1,104.5,56.5,3735.714,3734.285,46.267,43.933,786.9,732.1,3.913,3.886
MoO3,3.54,2.0838,16.5,14.72,35.984,34.615,3.12,0.554,11.986,2.825,2.75,1.299,83.5,61.487,2571.071,4450.751,68.878,36.93,765.1,1230.275,34.769,60.177
MoSe2,1.6,5.2069,36.66,3.77,80.619,10.832,2.42,0.183,8.866,1.254,4.333,0.471,132,41.012,6639.333,2574.34,640.304,449.289,1294.666,1132.313,46.68,65.28
MoTe2,1.2,3.9155,48.66,4.71,117.046,14.924,2.12,0.028,8.37,0.904,5,0,145.333,31.584,7586.666,1904.474,2.477,1.721,1447.106,1024.522,48.333,64.111
Na3Li3Al2F12,,1.3395,8.8,2.74,18.586,5.513,2.835,1.413,12.631,7.193,2.25,0.433,90.55,62.047,496.467,816.093,745.868,905.112,249.131,279.811,57.266,79.163
Na8Al6Si6O24Cl2,,1.483,10.34,2.74,21.069,5.833,2.551,1.027,10.863,4.739,2.478,0.499,91.391,53.128,825.32,1068.08,1036.543,1222.577,442.351,562.105,74.579,89.356
NaBr,7.5,1.64,23,12,51.446,28.457,1.945,1.015,8.476,3.337,3.5,0.5,142,48,2044,1076,744,412,318.335,52.534,70.06,69.94
NaCl,9,1.531,14,3,29.221,6.231,2.045,1.115,9.053,3.914,3,0,134.5,55.5,485.607,482.393,697.555,458.445,271.235,99.635,70.004,69.995
NaF,10.5,1.326,10,1,20.994,1.995,2.455,1.525,11.28,6.141,2.5,0.5,116,74,484.848,483.152,620.515,535.485,212.185,158.685,70.013,69.986
5NaF -9YF3,,1.47,,,,,,,,,,,,,,,,,,,,
NaI,5.9,1.77,32,21,74.947,51.957,1.795,0.865,7.795,2.656,4,1,152.5,37.5,2954,1986,806.7,349.3,378.86,7.99,70.224,69.775
NaNO2,3.13,1.471,8.5,1.5,17.248,3.412,2.712,1.042,11.727,3.822,2.25,0.433,85.5,60.421,243.027,418.563,353.44,463.387,135.88,135.716,35.019,60.61
Nb2O5,3.08,2.3216,17.42,14.9,37.972,34.743,2.914,0.831,11.658,3.098,2.857,1.355,90.857,67.763,2449.592,3870.885,65.862,38.481,824.857,1217.567,15.447,24.382
Nd2O3,4.4,1.92,28.8,25.47,67.295,62.824,2.703,0.901,10.38,3.964,3.6,1.959,111.2,77.403,2804.857,3433.484,1403.32,608.236,550.48,607.081,6.815,8.315
NdF3,6.15,1.6161,21.75,22.08,50.308,54.231,3.27,1.229,14.447,5.151,3,1.732,83,71.014,1753.772,3034.684,907.022,1423.732,363.625,537.152,4.27,7.349
NH4H2PO4,6.8,1.522,6,5.88,9.585,9.5,2.682,0.466,13.423,0.449,1.583,0.64,55.333,13.129,152.542,503.662,92.786,142.64,56.967,81.086,0.12,0.081
NiF2,9,1.56,15.33,8.95,32.23,18.712,3.289,0.975,14.161,4.611,2.666,0.942,77.666,50.44,2970.464,4198.471,57.748,38.581,611.666,789.366,30.351,42.884
NiO,3.86,2.2,18,10,37.346,21.346,2.675,0.765,10.629,2.989,3,1,98.5,50.5,4454.714,4453.285,46.693,43.507,891.4,836.6,45.513,45.486
PbCl2,3.82,2.2253,38.66,30.64,92.702,80.962,2.883,0.931,11.117,2.616,4,1.414,104,35.355,3782.142,5344.212,833.406,840.462,314.603,202.237,11.672,16.494
Pb(NO3)2,,1.78,16,23.33,36.801,60.25,3.227,0.356,13.743,2.236,2.444,1.257,61.555,32.846,1261.23,3563.383,301.991,608.137,117.278,170.916,3.912,10.991
PbF2,5,1.7611,33.33,34.41,81.732,88.719,3.429,0.777,14.087,4.716,3.333,1.885,79.333,52.797,3781.13,5344.927,730.686,913.096,235.87,257.91,11.685,16.486
PbI2,2.4,3.1472,62.66,13.67,153.669,37.851,2.55,0.155,9.439,1.43,5.333,0.471,128,18.384,7073.333,3016.988,978.933,737.559,458.103,100.767,11.966,16.287
PbMoO4,3.6,2.386,26,27.95,61.189,71.525,3.041,0.565,11.496,3.001,3.166,1.674,89.333,59.37,3604.286,5104.389,397.952,726.963,619.301,1037.493,29.017,50.816
PbO,1.7,2.61,45,37,111.599,95.6,2.885,0.554,10.517,3.1,4,2,101,53,5670.714,5669.285,1056.1,965.9,327.705,272.905,17.512,17.487
PbS,0.42,4.1,43,33,119.632,87.567,2.455,0.125,8.888,1.471,4.5,1.5,121,33,6650,4690,1369.935,652.064,494.485,106.125,17.602,17.397
PbSe,0.278,4.59,58,24,140.079,67.12,2.44,0.109,8.585,1.168,5,1,128.5,25.5,8079.5,3260.5,1490,532,547.305,53.305,17.76,17.24
PbSeO4,4.3,1.97,24.66,27.34,57.359,70.164,3.106,0.475,11.94,2.466,3,1.527,74.833,40.703,2694.119,4247.915,556.8,727.854,218.968,234.199,5.937,12.998
PbTe,0.311,5.35,67,15,167.399,39.8,2.215,0.114,8.212,0.796,5.5,0.5,138.5,15.5,8790,2550,1011.63,1010.369,661.635,61.024,19,16
Pr2O3,3.9,2.003,28.4,24.98,65.962,61.192,2.516,1.131,10.354,3.996,3.6,1.959,127.6,97.489,2656.857,3252.222,1479.32,1701.317,514.48,562.99,5.215,6.355
PrF3,5.3,1.6176,21.5,21.65,49.475,52.788,3.267,1.234,14.431,5.179,3,1.732,93.25,88.767,1661.272,2874.469,954.522,1506.005,341.125,498.181,3.27,5.617
PtS2,0.75,3.5238,36.66,29.22,86.402,76.845,2.48,0.141,9.913,0.631,4,1.414,117.666,41.955,8456.666,9187.674,1844.58,1593.408,939.373,779.25,24.136,33.844
PtSe2,0.1,3.5194,48.66,20.74,113.666,57.566,2.459,0.127,9.508,0.345,4.666,0.942,127.666,34.883,10362.666,7839.928,2004.666,1480.21,1009.8,729.451,24.346,33.695
PtSb2,0.08,,60,12.72,146.199,34.562,2.126,0.108,8.766,0.179,5.333,0.471,147.666,20.741,11614.666,6954.63,1367.24,1930.938,1282.986,536.279,40,22.627
RbBr,7.25,1.55,36,1,82.685,2.781,1.89,1.069,7.995,3.818,4.5,0.5,179.5,85.5,2326,794,646.5,614.5,289.13,23.329,29.06,28.94
RbCl,8.3,1.49,27,10,60.46,25.007,1.99,1.17,8.572,4.395,4,1,172,93,767.607,764.393,600.055,360.945,242.029,70.429,29.004,28.995
RbF,10.4,1.3967,23,14,52.233,33.234,2.4,1.58,10.799,6.622,3.5,1.5,153.5,111.5,766.848,765.151,523.015,437.985,182.98,129.48,29.013,28.986
RbI,5.83,1.64,45,8,100.186,20.718,1.74,0.92,7.314,3.137,5,0,190,75,3236,1704,709.2,251.8,349.655,37.195,29.224,28.775
